"user";"booking_date";"origin_airport";"price";"sales channel";"ant"
"user6";2018-11-01;"SVQ";23.7900009155;"online";9
"user4";2018-11-01;"TXL";103.160003662;"online";2
"user5";2018-11-01;"MAD";45.9700012207;"online";80
"user10";2018-10-31;"MAD";23;"online";49
"user9";2018-11-01;"MAD";48;"online";39
"user9";2018-11-01;"ACE";106.650001526;"online";88
"user4";2018-11-01;"MAD";140.550003052;"online";19
"user1";2018-10-29;"MAD";38.2599983215;"online";66
"user7";2018-10-31;"LGW";27.0699996948;"online";12
"user1";2018-11-01;"MAD";36.8499984741;"online";60
"user4";2018-11-01;"MAD";62.0499992371;"online";19
"user6";2018-11-02;"MAD";69.4400024414;"online";2
"user1";2018-11-01;"PMI";46.6100006104;"travel agency";1
"user3";2018-10-30;"TFS";42.0800018311;"travel agency";46
"user3";2018-11-01;"MAD";58.0699996948;"online";46
"user8";2018-10-29;"TFN";22.6900005341;"online";5
"user8";2018-11-01;"SVQ";17.3799991608;"travel agency";22
"user7";2018-11-01;"FUE";128.190002441;"online";52
"user2";2018-11-01;"MAD";166.339996338;"travel agency";21
"user1";2018-11-01;"PMI";70.8300018311;"online";0
"user3";2018-11-01;"MAD";78.5599975586;"online";73
"user5";2018-11-01;"PMI";21.7000007629;"online";78
"user6";2018-11-03;"NTE";42.7999992371;"online";15
"user1";2018-10-29;"MAD";30.6000003815;"online";76
"user10";2018-11-01;"MAD";248.970001221;"online";2
"user10";2018-11-01;"MAD";130.460006714;"travel agency";11
"user5";2018-11-02;"AMS";81.3899993896;"travel agency";5
"user6";2018-11-01;"MAD";223.220001221;"travel agency";38
"user1";2018-10-31;"LPA";197.160003662;"online";47
"user3";2018-11-01;"LPA";35.9500007629;"online";15
"user1";2018-11-03;"MAD";51.6199989319;"online";4
"user3";2018-10-29;"MAD";41.1100006104;"online";1
"user3";2018-11-01;"ALC";21.1000003815;"online";17
"user1";2018-11-01;"TXL";15;"travel agency";3
"user8";2018-11-01;"XRY";111.540000916;"travel agency";2
"user2";2018-10-31;"TFN";114.680000305;"travel agency";3
"user1";2018-10-31;"MAD";81.5922616998235;"online";2
"user10";2018-11-01;"MAD";105.11000061;"travel agency";53
"user5";2018-11-01;"MAD";21.3299999237;"call center";26
"user10";2018-11-01;"MAD";133.029998779;"online";1
"user4";2018-10-29;"MAD";68.4400024414;"online";34
"user3";2018-10-30;"MAD";44.3199996948;"travel agency";69
"user6";2018-11-01;"TFN";201.520004272;"travel agency";37
"user8";2018-11-03;"LGW";48.1899986267;"online";7
"user6";2018-11-02;"MAD";81.5922616998235;"travel agency";50
"user3";2018-11-01;"MAD";70.0500030518;"online";2
"user4";2018-11-01;"PMI";121.019996643;"online";34
"user9";2018-10-29;"MAD";78.5699996948;"online";70
"user6";2018-11-01;"TFN";81.8099975586;"travel agency";74
"user5";2018-11-01;"MAD";22.5699996948;"online";20
"user10";2018-11-01;"MAD";34.9099998474;"online";39
"user10";2018-11-01;"MAN";34.7099990845;"travel agency";46
"user10";2018-11-01;"DUS";121.5;"travel agency";16
"user1";2018-11-01;"SCQ";81.5922616998235;"online";21
"user6";2018-11-02;"MAD";41.1199989319;"travel agency";5
"user9";2018-11-01;"ACE";79.3099975586;"online";60
"user1";2018-11-01;"MAD";99.8600006104;"online";30
"user9";2018-11-01;"MAD";28.9699993134;"online";25
"user5";2018-11-01;"VGO";158.380004883;"online";23
"user2";2018-11-01;"MAD";13.5699996948;"online";11
"user10";2018-11-01;"MAD";169.839996338;"online";5
"user9";2018-11-01;"MAD";52.5299987793;"online";49
"user9";2018-11-01;"AMS";102.930000305;"travel agency";5
"user3";2018-10-30;"MAD";74.7699966431;"travel agency";14
"user9";2018-11-01;"CGR";280.519989014;"travel agency";42
"user6";2018-11-01;"NCE";50.3800010681;"online";12
"user10";2018-10-29;"TFN";52.7400016785;"online";2
"user7";2018-11-02;"MAD";274.559997559;"online";39
"user3";2018-11-01;"MAD";46.0999984741;"online";52
"user9";2018-11-01;"MAD";115.230003357;"travel agency";47
"user9";2018-11-01;"MAD";40.2799987793;"travel agency";54
"user7";2018-10-29;"FUE";29.2600002289;"travel agency";31
"user1";2018-10-31;"SCQ";37.8600006104;"call center";3
"user1";2018-11-02;"MAD";150;"travel agency";73
"user10";2018-11-01;"MAD";29.1100006104;"online";2
"user7";2018-11-02;"LPA";29.3199996948;"online";20
"user3";2018-10-29;"CPH";52.7999992371;"online";42
"user3";2018-11-01;"MAD";40.2999992371;"online";18
"user3";2018-11-01;"MAD";104.319999695;"online";45
"user6";2018-10-31;"MAD";53.3600006104;"online";12
"user7";2018-11-01;"MAD";264.619995117;"travel agency";19
"user7";2018-11-01;"MAD";92.0199966431;"travel agency";34
"user7";2018-11-01;"TFN";114.699996948;"call center";3
"user7";2018-11-01;"MAN";103.550003052;"online";29
"user5";2018-11-01;"MAD";19.6100006104;"travel agency";1
"user1";2018-11-01;"MAD";63.3899993896;"travel agency";5
"user8";2018-11-01;"ACE";111.300003052;"online";1
"user8";2018-11-01;"SPC";142.910003662;"travel agency";1
"user8";2018-11-01;"PHL";143.86000061;"online";5
"user5";2018-11-01;"MAD";52.4399986267;"travel agency";32
"user4";2018-10-29;"TFN";54.7400016785;"online";23
"user5";2018-10-29;"MAD";33.5600013733;"online";0
"user7";2018-11-01;"LPA";152.830001831;"travel agency";74
"user10";2018-11-01;"MAD";0;"call center";10
"user3";2018-11-01;"PMI";34;"online";66
"user10";2018-10-30;"MAD";174.880004883;"travel agency";59
"user4";2018-11-02;"MAD";332.440002441;"online";1
"user4";2018-11-02;"MAD";94.9100036621;"travel agency";33
"user9";2018-11-03;"MAD";23.6499996185;"online";20
"user2";2018-10-31;"MAD";41.1199989319;"travel agency";42
"user9";2018-11-01;"MAD";27.0799999237;"online";3
"user6";2018-11-01;"MAD";1.5;"online";7
"user4";2018-11-01;"SVQ";20.6800003052;"travel agency";16
"user8";2018-11-01;"IBZ";20.8099994659;"travel agency";39
"user1";2018-11-02;"MAD";97.9800033569;"online";15
"user9";2018-11-01;"PMI";38.9700012207;"online";27
"user1";2018-11-01;"LPA";166.210006714;"online";46
"user3";2018-11-01;"LGW";76.1999969482;"online";33
"user6";2018-10-31;"MAD";81.4499969482;"online";33
"user1";2018-11-01;"SPC";136.410003662;"online";32
"user1";2018-11-01;"SPC";57.0099983215;"call center";1
"user10";2018-11-01;"MAD";48.3499984741;"online";31
"user10";2018-11-01;"LPA";35.1699981689;"travel agency";6
"user7";2018-11-01;"PMI";36.4500007629;"online";7
"user7";2018-11-02;"TXL";55.1199989319;"travel agency";0
"user3";2018-10-29;"TFS";29.5900001526;"travel agency";82
"user4";2018-11-01;"MAD";62.4300003052;"online";68
"user3";2018-11-01;"SCQ";38.7799987793;"travel agency";39
"user4";2018-11-01;"IBZ";60.7299995422;"online";38
"user9";2018-11-01;"MAD";26;"travel agency";1
"user6";2018-11-01;"PMI";51.8199996948;"online";5
"user9";2018-11-01;"SVQ";162.039993286;"travel agency";42
"user6";2018-11-01;"DUS";211.229995728;"online";6
"user9";2018-11-01;"MAD";31.8400001526;"online";67
"user9";2018-11-01;"MAD";26.9699993134;"online";54
"user9";2018-11-01;"MAD";218.669998169;"online";25
"user4";2018-11-01;"MAD";0;"online";21
"user1";2018-11-01;"MAD";33.9199981689;"online";69
"user9";2018-10-29;"MAD";54.7900009155;"travel agency";29
"user8";2018-10-29;"MAD";41.7000007629;"travel agency";6
"user5";2018-11-01;"MAD";37.9399986267;"travel agency";6
"user3";2018-11-01;"MAD";80.4100036621;"call center";4
"user7";2018-11-01;"MAD";110.309997559;"online";0
"user8";2018-11-01;"NAP";141.86000061;"online";15
"user1";2018-11-01;"MAD";57.5999984741;"online";70
"user5";2018-11-01;"MAD";223.970001221;"online";91
"user4";2018-11-01;"AGP";51.4900016785;"travel agency";18
